Time,Afghanistan [AFG],Albania [ALB],Algeria [DZA],American Samoa [ASM],Andorra [AND],Angola [AGO],Antigua and Barbuda [ATG],Argentina [ARG],Armenia [ARM],Aruba [ABW],Australia [AUS],Austria [AUT],Azerbaijan [AZE],"Bahamas, The [BHS]",Bahrain [BHR],Bangladesh [BGD],Barbados [BRB],Belarus [BLR],Belgium [BEL],Belize [BLZ],Benin [BEN],Bermuda [BMU],Bhutan [BTN],Bolivia [BOL],Bosnia and Herzegovina [BIH],Botswana [BWA],Brazil [BRA],British Virgin Islands [VGB],Brunei Darussalam [BRN],Bulgaria [BGR],Burkina Faso [BFA],Burundi [BDI],Cabo Verde [CPV],Cambodia [KHM],Cameroon [CMR],Canada [CAN],Cayman Islands [CYM],Central African Republic [CAF],Chad [TCD],Channel Islands [CHI],Chile [CHL],China [CHN],Colombia [COL],Comoros [COM],"Congo, Dem. Rep. [COD]","Congo, Rep. [COG]",Costa Rica [CRI],Cote d'Ivoire [CIV],Croatia [HRV],Cuba [CUB],Curacao [CUW],Cyprus [CYP],Czech Republic [CZE],Denmark [DNK],Djibouti [DJI],Dominica [DMA],Dominican Republic [DOM],Ecuador [ECU],"Egypt, Arab Rep. [EGY]",El Salvador [SLV],Equatorial Guinea [GNQ],Eritrea [ERI],Estonia [EST],Eswatini [SWZ],Ethiopia [ETH],Faroe Islands [FRO],Fiji [FJI],Finland [FIN],France [FRA],French Polynesia [PYF],Gabon [GAB],"Gambia, The [GMB]",Georgia [GEO],Germany [DEU],Ghana [GHA],Gibraltar [GIB],Greece [GRC],Greenland [GRL],Grenada [GRD],Guam [GUM],Guatemala [GTM],Guinea [GIN],Guinea-Bissau [GNB],Guyana [GUY],Haiti [HTI],Honduras [HND],"Hong Kong SAR, China [HKG]",Hungary [HUN],Iceland [ISL],India [IND],Indonesia [IDN],"Iran, Islamic Rep. [IRN]",Iraq [IRQ],Ireland [IRL],Isle of Man [IMN],Israel [ISR],Italy [ITA],Jamaica [JAM],Japan [JPN],Jordan [JOR],Kazakhstan [KAZ],Kenya [KEN],Kiribati [KIR],"Korea, Dem. People's Rep. [PRK]","Korea, Rep. [KOR]",Kosovo [XKX],Kuwait [KWT],Kyrgyz Republic [KGZ],Lao PDR [LAO],Latvia [LVA],Lebanon [LBN],Lesotho [LSO],Liberia [LBR],Libya [LBY],Liechtenstein [LIE],Lithuania [LTU],Luxembourg [LUX],"Macao SAR, China [MAC]",Madagascar [MDG],Malawi [MWI],Malaysia [MYS],Maldives [MDV],Mali [MLI],Malta [MLT],Marshall Islands [MHL],Mauritania [MRT],Mauritius [MUS],Mexico [MEX],"Micronesia, Fed. Sts. [FSM]",Moldova [MDA],Monaco [MCO],Mongolia [MNG],Montenegro [MNE],Morocco [MAR],Mozambique [MOZ],Myanmar [MMR],Namibia [NAM],Nauru [NRU],Nepal [NPL],Netherlands [NLD],New Caledonia [NCL],New Zealand [NZL],Nicaragua [NIC],Niger [NER],Nigeria [NGA],North Macedonia [MKD],Northern Mariana Islands [MNP],Norway [NOR],Oman [OMN],Pakistan [PAK],Palau [PLW],Panama [PAN],Papua New Guinea [PNG],Paraguay [PRY],Peru [PER],Philippines [PHL],Poland [POL],Portugal [PRT],Puerto Rico [PRI],Qatar [QAT],Romania [ROU],Russian Federation [RUS],Rwanda [RWA],Samoa [WSM],San Marino [SMR],Sao Tome and Principe [STP],Saudi Arabia [SAU],Senegal [SEN],Serbia [SRB],Seychelles [SYC],Sierra Leone [SLE],Singapore [SGP],Sint Maarten (Dutch part) [SXM],Slovak Republic [SVK],Slovenia [SVN],Solomon Islands [SLB],Somalia [SOM],South Africa [ZAF],South Sudan [SSD],Spain [ESP],Sri Lanka [LKA],St. Kitts and Nevis [KNA],St. Lucia [LCA],St. Martin (French part) [MAF],St. Vincent and the Grenadines [VCT],Sudan [SDN],Suriname [SUR],Sweden [SWE],Switzerland [CHE],Syrian Arab Republic [SYR],Tajikistan [TJK],Tanzania [TZA],Thailand [THA],Timor-Leste [TLS],Togo [TGO],Tonga [TON],Trinidad and Tobago [TTO],Tunisia [TUN],Turkey [TUR],Turkmenistan [TKM],Turks and Caicos Islands [TCA],Tuvalu [TUV],Uganda [UGA],Ukraine [UKR],United Arab Emirates [ARE],United Kingdom [GBR],United States [USA],Uruguay [URY],Uzbekistan [UZB],Vanuatu [VUT],"Venezuela, RB [VEN]",Vietnam [VNM],Virgin Islands (U.S.) [VIR],"Yemen, Rep. [YEM]",Zambia [ZMB],Zimbabwe [ZWE]
1960,8996967,1608800,11057864,20127,13410,5454938,54132,20481781,1874119,54208,10276477,7047539,3895398,109532,162429,48013505,230985,8198000,9153489,92068,2431617,44400,223284,3656961,3225664,502733,72179235,8053,81707,7867374,4829289,2797925,201770,5722372,5176920,17909009,7870,1501668,3001604,109419,8132988,667070000,16057714,191122,15248256,1018254,1330787,3503559,4140181,7141241,124826,572933,9602006,4579603,83634,60020,3294222,4543658,26632891,2766319,255338,1007586,1211537,336578,22151284,34624,393480,4429634,46621688,78080,500922,365049,3645600,72814900,6635229,23420,8331725,32500,89927,66733,4128880,3494164,616140,571813,3866162,2038636,3075605,9983967,175574,450547675,87751066,21906909,7289753,2828600,48444,2114020,50199700,1628524,93216000,933102,9934564,8120082,41196,11424189,25012374,947000,269026,2172300,2120892,2120979,1804935,837264,1118655,1448416,16501,2778550,313970,167795,5099368,3659980,8156342,89873,5263727,326550,14674,850377,659351,37771861,44510,2043664,22461,955514,480579,12328532,7184870,21736947,634138,4377,10105060,11486631,79000,2371800,1773132,3388774,45138460,1488670,9980,3581239,551735,44988690,9769,1133005,2255858,1903990,10155011,26269741,29637450,8857716,2358000,47383,18406905,119897000,2935575,108627,15440,64294,4086534,3206757,6608000,41700,2317638,1646400,2833,4068095,1584720,117847,2755967,17099836,2842718,30455000,9874476,51199,89698,3898,80970,7544498,287870,7484656,5327827,4573514,2087053,10052151,27397208,474535,1580508,61574,847973,4178235,27472339,1603254,5825,5321,6767092,42664646,92417,52400000,180671000,2538648,8526299,63689,8141839,32670048,32500,5315351,3070780,3776679
1961,9169406,1659800,11336336,20605,14378,5531451,55005,20817270,1941498,55434,10483000,7086299,4030325,115119,167899,49362834,231718,8271216,9183948,94700,2465865,45500,228849,3728954,3288604,512688,74311338,8164,85560,7943118,4894580,2852438,205321,5872968,5285015,18271000,8024,1526057,3060365,110398,8303804,660330000,16567817,194149,15637700,1043119,1381187,3631547,4167292,7291201,126125,576402,9586651,4611687,88503,61036,3406282,4674176,27366239,2846601,258786,1033320,1225077,343346,22671193,35074,407244,4461005,47240526,80705,505793,372436,3703600,73377632,6848291,23808,8398050,33700,91324,68065,4251911,3552068,622754,589274,3941956,2096407,3168100,10029321,179029,459642166,90098396,22480371,7475349,2824400,48286,2185000,50536350,1651067,94055000,973983,10349422,8377693,42234,11665592,25765673,966000,300581,2255900,2170340,2152681,1864613,852892,1142304,1498076,16894,2823550,316845,170466,5223561,3747758,8417821,92328,5322269,325250,15056,875586,680757,38966049,45939,2092667,22813,982181,491140,12710587,7342117,22211626,649274,4627,10267260,11638712,81200,2419700,1829772,3486322,46063570,1507647,10243,3609800,564891,46065229,10046,1167120,2297052,1954552,10446618,27161052,29964000,8929316,2399722,51427,18555250,121236000,2998334,112112,15836,64597,4218852,3295280,6655000,42889,2352370,1702400,3077,4191667,1594131,121385,2814125,17524533,2895609,30739250,10111639,51196,90718,3996,82168,7769475,295913,7519998,5434294,4721893,2159134,10346695,28224186,482852,1597523,63721,864814,4238141,28146909,1658364,5867,5330,6983824,43206353,100801,52800000,183691000,2571682,8813619,65700,8439261,33666111,34300,5393034,3164330,3905038
1962,9351442,1711319,11619828,21246,15379,5608499,55849,21153042,2009524,56234,10742000,7129864,4171428,121092,173140,50752150,232623,8351928,9220578,97392,2502897,46600,234552,3802996,3353228,523777,76514329,8319,89484,8012946,4960328,2907320,210141,6028434,5398730,18614000,8141,1551908,3121226,111464,8476895,665770000,17092919,197202,16041187,1069236,1433346,3770756,4196712,7453535,128414,577696,9624660,4647727,94203,61978,3521018,4809194,28112258,2931187,262219,1060489,1241623,350155,23221385,35521,421673,4491443,47904879,83652,511285,379886,3760300,74025784,7071966,24307,8448233,35000,92481,69605,4378604,3611428,628877,606286,4019171,2155648,3305200,10061734,182378,469077191,92518373,23071309,7674217,2836050,48421,2293000,50879450,1676500,94933000,1010647,10756931,8647002,43283,11871726,26513030,994000,337346,2333400,2221123,2181586,1925295,869132,1166651,1550815,17300,2863350,320750,176188,5352497,3839047,8692337,94902,5381367,323900,15547,901690,700349,40195318,47372,2140063,23043,1011327,502558,13094890,7507309,22697664,665119,4942,10433147,11805689,83400,2482000,1887426,3588228,47029818,1527109,10438,3638918,578827,47198886,10329,1202447,2340349,2006675,10749463,28077345,30308500,8993985,2450322,56266,18676550,122591000,3052937,115768,16255,64478,4362788,3386803,6696000,44042,2388759,1750200,3367,4238188,1603649,125040,2874215,17965733,2951041,31023366,10352180,50961,91892,4078,83239,8004122,303894,7561588,5573815,4875429,2236564,10651954,29080945,491575,1612761,66233,879436,4305477,28832831,1715408,5884,5340,7215799,43752227,112112,53250000,186538000,2603883,9113629,67793,8742780,34683410,35000,5473671,3260645,4039209
1963,9543200,1762621,11912800,22029,16407,5679409,56701,21488916,2077584,56699,10950000,7175811,4315127,127340,178142,52202008,233632,8437232,9289770,100165,2542864,47700,240529,3879191,3417573,535692,78772647,8469,93540,8078145,5027811,2964416,216087,6183586,5518104,18964000,8219,1579375,3183576,112591,8650390,682335000,17629978,200371,16461828,1096638,1486555,3918630,4225675,7623300,130860,577918,9670685,4684483,100618,62917,3638110,4948991,28871383,3019224,266005,1088859,1258857,357279,23798418,35965,436303,4523309,48582624,86847,517573,387635,3816100,74714353,7300124,24889,8479625,36400,93409,71289,4508444,3672560,635008,622580,4097755,2216712,3420900,10087947,185653,478825602,95015295,23680246,7888910,2852650,48800,2379000,51252000,1703660,95900000,1050212,11147860,8928510,44342,12065468,27261747,1022000,378756,2413700,2273352,2210919,1984999,886061,1191796,1607168,17724,2898950,324100,184245,5486319,3933914,8973791,97540,5441618,322550,16111,928742,718861,41462373,48856,2185050,23165,1042387,513409,13478425,7679465,23198238,681633,5270,10604620,11965966,85700,2531800,1946240,3693985,48032932,1547449,10591,3666537,593498,48387293,10566,1238893,2385943,2060340,11062295,29012630,30712000,9030355,2504530,61721,18797850,123960000,3105417,119552,16669,64237,4516540,3481654,6732000,45176,2426864,1795000,3703,4282017,1616971,128838,2936478,18423157,3009061,31296651,10597516,50529,93214,4179,84200,8248818,311945,7604328,5694247,5034639,2318252,10968196,29966873,500652,1631758,68975,891948,4380074,29531362,1773854,5870,5341,7461636,44288607,125130,53650000,189242000,2635125,9428906,69944,9052632,35721213,39800,5556767,3360099,4178726
1964,9744772,1814135,12221675,22850,17466,5734995,57641,21824427,2145004,57029,11167000,7223801,4456691,133705,182888,53741721,234588,8524224,9378113,103069,2585961,48900,246961,3957759,3478999,547870,81064572,8644,97819,8144340,5098891,3026292,222949,6331443,5643039,19325000,8299,1608618,3246527,113777,8821855,698355000,18175187,203762,16903830,1125354,1539942,4071411,4252876,7793258,133148,578628,9727804,4722072,107582,63921,3757123,5093848,29644875,3109571,270616,1118152,1277086,365120,24397010,36409,450538,4548543,49230585,90132,524891,396012,3870300,75318337,7524470,25478,8510429,37600,94122,73047,4640795,3735912,641821,637835,4177631,2280044,3504600,10119835,188983,488848139,97596728,24307855,8122199,2866550,49396,2475000,51675350,1730739,96903000,1102404,11511856,9222692,45392,12282417,27984155,1050000,423900,2495300,2327137,2240623,2041231,903757,1217905,1667822,18170,2935200,327750,193556,5625164,4032364,9253827,100177,5503750,321250,16710,956794,736381,42771077,50476,2228429,23236,1074518,521753,13857656,7857107,23717785,698797,5590,10783958,12127120,88100,2585400,2006478,3802802,49066762,1569139,10780,3694339,608890,49627623,10792,1276331,2434220,2115573,11383364,29958687,31139450,9035365,2554066,67562,18919126,125345000,3164258,123346,17101,64278,4677304,3580241,6765000,46322,2466671,1841600,4063,4327341,1632114,132766,3001160,18896303,3069735,31609195,10849977,49928,94637,4302,85117,8503989,320267,7661354,5789228,5200341,2402473,11295675,30881136,510035,1662073,71744,902620,4461111,30244258,1833065,5851,5354,7719108,44796959,138049,54000000,191889000,2665383,9762819,72116,9369101,36780001,40800,5641598,3463211,4322854
1965,9956318,1864791,12550880,23675,18542,5770573,58699,22159644,2211316,57357,11388000,7270889,4592601,140060,187432,55385114,235415,8610000,9463667,106120,2632361,50100,253993,4038865,3535632,559996,83373533,8836,102390,8204168,5174874,3094378,230421,6467191,5773538,19678000,8370,1639706,3309583,114989,8989607,715185000,18725242,207429,17369882,1155389,1592834,4226843,4280923,7958171,135266,580972,9779358,4759012,114976,65044,3877768,5243980,30433024,3201310,276296,1148188,1294566,373925,25013634,36843,463960,4563732,49818019,93442,533357,405258,3921600,75963695,7739463,26079,8550333,39200,94634,74828,4774984,3801711,649795,651865,4258734,2346005,3597900,10147935,192286,499123328,100267070,24954865,8375795,2877300,50145,2563000,52112350,1756508,97952000,1173603,11841926,9530163,46429,12547524,28704674,1078000,472032,2573300,2382586,2265919,2092374,922307,1245104,1733307,18642,2971450,331500,203224,5769215,4134464,9526558,102710,5568495,318800,17282,985907,753000,44123863,52224,2269399,23289,1107121,526327,14230163,8039217,24259356,716588,5859,10972912,12294732,90500,2628400,2068379,3914118,50127920,1592437,11023,3723168,625006,50917975,11005,1314679,2485433,2172309,11711402,30909997,31444950,8998595,2594000,73631,19031576,126745000,3235536,127055,17508,64884,4843632,3682879,6794000,47500,2508226,1886900,4460,4370983,1649160,136815,3068465,19384838,3133155,31954292,11110825,49209,96138,4471,86009,8770094,328939,7733853,5856472,5373137,2487975,11634837,31822656,519676,1708631,74348,911742,4547941,30972996,1892596,5814,5388,7986062,45264552,149855,54348050,194303000,2694537,10116870,74268,9692281,37858947,43500,5727745,3570466,4471178
1966,10174840,1914573,12902626,24473,19646,5781305,59912,22494031,2276038,57702,11651000,7322066,4721528,146381,191785,57157651,236084,8696496,9527807,109348,2682159,51000,261664,4122517,3586630,571957,85696502,9022,107274,8258057,5256360,3170496,238655,6585034,5909874,20048000,8444,1673019,3372182,116229,9152848,735400000,19279734,211477,17862052,1186782,1645076,4383723,4310701,8115487,136682,585313,9821040,4797381,122876,66300,3999796,5399423,31237597,3293954,283506,1178875,1308597,383820,25641040,37283,476399,4580869,50330268,96719,543119,415478,3966700,76600311,7941418,26631,8613651,40500,94936,76611,4910790,3870204,658998,664518,4341325,2414805,3629900,10178653,195570,509631509,103025423,25624380,8651162,2888800,51051,2629000,52519000,1780522,98851000,1267063,12132560,9851453,47429,12864947,29435571,1106000,523169,2655300,2439197,2283217,2136617,941798,1273458,1803689,19160,3008050,333895,213189,5918592,4240430,9790083,105129,5635864,315200,17834,1016093,768813,45519746,54192,2307959,23302,1139962,526419,14595351,8225919,24823937,734866,6065,11172530,12456251,93500,2675900,2131973,4027969,51217969,1617797,11341,3753012,642007,52260183,11178,1353847,2539683,2230733,12045783,31864175,31681000,8930990,2624995,79850,19215450,127468000,3321674,130672,17919,66172,5015353,3789381,6841000,48699,2551580,1934400,4895,4411666,1669905,140995,3143654,19888259,3199348,32283194,11380665,48351,97721,4675,86907,9047803,338155,7807797,5918002,5553247,2574506,11985442,32789129,529328,1774020,76774,919218,4640995,31717504,1952144,5783,5435,8263434,45684983,159979,54648500,196560000,2722871,10493441,76392,10022592,38958046,46200,5816241,3681953,4623340
1967,10399936,1965598,13275020,25235,20760,5774440,61240,22828872,2339133,58044,11799000,7376998,4843872,152621,196060,59034250,236661,8785648,9580991,112707,2735308,52000,269944,4208683,3632678,584098,88035815,9213,112446,8310226,5343025,3253215,247522,6685961,6052419,20412000,8518,1708306,3434817,117469,9312091,754550000,19837508,215900,18378620,1219547,1696742,4544168,4338683,8266373,138140,591301,9852899,4835354,131405,67687,4123100,5560013,32056506,3387384,291786,1210304,1318946,394760,26280135,37705,487973,4605744,50775788,99990,554054,426622,4005800,76951336,8132803,27172,8684088,41900,95012,78412,5047435,3941046,669243,675861,4425318,2486418,3722800,10216604,198751,520400577,105865576,26317776,8947397,2902450,52117,2745000,52900500,1803324,99879000,1378995,12385706,10187487,48403,13222703,30130983,1135000,577164,2736500,2496927,2301220,2174732,962279,1303032,1878869,19688,3044400,334995,223416,6073529,4350456,10046321,107481,5706192,311550,18383,1047345,783917,46956208,56308,2344108,23292,1173186,522796,14954037,8417698,25410054,753683,6221,11382965,12598201,96500,2724100,2197303,4144588,52342231,1644949,11723,3784539,660117,53655783,11329,1393824,2596820,2290797,12386868,32823970,31987155,8874520,2645674,86298,19534242,128196000,3420897,134181,18309,68039,5195124,3899648,6880000,49911,2596798,1977600,5362,4449367,1689528,145319,3227835,20406863,3268392,32682947,11657650,47388,99370,4922,87779,9337662,347673,7867931,5991785,5740702,2662257,12348188,33778804,538906,1855450,79034,925233,4740526,32477994,2011762,5766,5510,8550444,46063219,169768,54943600,198712000,2750091,10889499,78505,10359741,40072951,49100,5907873,3797877,4779825
1968,10637064,2022272,13663581,25980,21886,5771973,62523,23168268,2401142,58377,12009000,7415403,4960237,158648,200652,60918452,237241,8874552,9618756,116065,2791588,53000,278731,4297522,3675448,596946,90387079,9427,117897,8369603,5434046,3336930,256169,6779778,6201410,20744000,8638,1744198,3499370,118725,9468851,774510000,20393704,220574,18913874,1253761,1747690,4713134,4365628,8413549,140298,598495,9876346,4864883,140462,69034,4247559,5725462,32881852,3481624,299416,1242633,1331214,406508,26944386,38131,498944,4626469,51175507,103329,565763,438590,4042300,77294314,8321773,27693,8740765,43400,94929,80212,5184095,4013050,680431,686144,4509811,2560723,3802700,10255815,201488,531513834,108779926,27032576,9260687,2915550,53252,2803000,53235750,1825873,101011000,1500168,12611432,10539909,49354,13609976,30838302,1163000,632911,2818300,2556845,2323619,2210769,983683,1333980,1958909,20237,3078850,335850,233002,6234468,4464427,10297983,109893,5780836,307900,18966,1079580,798413,48431971,58386,2377848,23295,1207104,517481,15307267,8614445,26015239,773428,6343,11603921,12729721,99500,2748100,2264623,4263925,53506201,1672399,12135,3816486,679592,55102690,11460,1434676,2656636,2351926,12735491,33795203,32294655,8836650,2662064,93206,19799831,128928000,3529839,137484,18668,70258,5387822,4014107,6915000,51134,2644011,2012000,5857,4483915,1704546,149887,3312735,20942147,3340426,33113134,11937607,46399,101028,5194,88663,9639846,356551,7912273,6067714,5935850,2750932,12725519,34791418,548817,1945777,81076,930792,4845220,33256465,2071793,5746,5598,8841156,46411816,182620,55211700,200706000,2774761,11294666,80653,10702281,41193588,55700,6001858,3918872,4941901
1969,10893772,2081695,14061724,26698,23053,5803677,63553,23517613,2462938,58734,12263000,7441055,5071930,164265,206037,62679765,237963,8960304,9646032,119269,2850657,54000,287886,4389248,3717476,611297,92746607,9621,123596,8434172,5528172,3413909,263461,6880623,6357096,21028000,8833,1778870,3568402,119975,9625304,796025000,20942453,225324,19459818,1289519,1797891,4897470,4391490,8561391,142581,606121,9896580,4891860,149889,70214,4373127,5895368,33703127,3576834,304000,1276122,1345249,418739,27652715,38560,509708,4623785,51561833,106814,577644,451228,4080300,77909682,8520018,28165,8772764,44900,94723,82040,5320100,4084601,692407,695743,4593666,2637515,3863900,10298723,203369,543084333,111758566,27764928,9585585,2932650,54378,2877000,53537950,1849658,102219000,1617427,12824614,10910677,50267,14010339,31544266,1191000,688972,2894800,2620448,2343173,2250454,1005911,1366500,2043820,20766,3107321,337500,240837,6401920,4582197,10549395,112582,5861417,304300,19617,1112749,812405,49945278,60146,2411588,23348,1242213,513340,15656846,8816056,26635852,794588,6445,11834657,12877984,104000,2772800,2334285,4385925,54717035,1698150,12577,3847707,700725,56598148,11617,1476481,2718805,2413396,13092846,34786309,32548300,8757705,2684150,100880,20009141,129664000,3643237,140495,18980,72501,5599909,4133324,6945000,52365,2693344,2042500,6354,4518607,1713874,154830,3386736,21496075,3415572,33441054,12214948,45529,102599,5461,89565,9954411,363574,7968072,6136387,6139054,2840265,13120587,35827089,559620,2034902,82861,937184,4953379,34055391,2132800,5765,5671,9127855,46749289,203103,55441750,202677000,2795037,11694843,82920,11048256,42307149,60300,6097042,4045740,5111326
